employee_id,first_name,last_name,date_of_birth,gender,hire_date,department_id,position,email,phone,address
1,David,Hood,1969-10-06,Female,2018-01-01,3,Software Engineer,jeffrey33@example.com,427.674.1154x7462,"908 Ellis Branch Apt. 860
Russellborough, MD 93576"
2,Alexander,Davis,1965-12-16,Female,2017-05-07,2,Software Engineer,thines@example.net,5826466415,"690 Steven Spur
East Bradleyberg, RI 47770"
3,Garrett,Schwartz,1987-08-10,Male,2019-01-02,1,Financial Analyst,daniel67@example.com,001-521-900-4579x6015,"7475 Anderson Meadow
West Jessicashire, IL 47222"
4,Curtis,Franklin,1995-10-23,Male,2021-09-29,5,Sales Representative,tyler39@example.com,957-843-6532x91124,"487 Allison Freeway Apt. 662
West Johnmouth, OH 31020"
5,Jessica,Ayers,1971-02-17,Male,2016-08-08,1,Financial Analyst,fcross@example.org,(707)225-3718x1303,"7223 John Hill Apt. 004
Schultzview, MT 18740"
6,Alexandria,Leach,1999-04-03,Female,2017-01-14,4,Marketing Specialist,douglaslewis@example.net,+1-478-536-8513x011,"082 Michael Curve
West Jennifer, GA 64544"
7,Carolyn,Cannon,2000-10-27,Female,2023-04-29,4,Sales Representative,nguyenangela@example.com,981-866-8167,"Unit 4161 Box 0323
DPO AE 16241"
8,Daniel,Bennett,1994-01-09,Female,2015-07-17,3,Financial Analyst,diazdaniel@example.com,533.672.1709x3344,"9776 Rodriguez Heights
Mitchellborough, MH 62956"
9,Kevin,Brown,1996-04-05,Female,2018-02-22,1,HR Manager,ogilbert@example.net,+1-333-458-2396x800,"16221 Jordan Village Suite 202
Johnsonstad, AZ 58661"
10,Christine,Young,1998-06-10,Female,2022-10-13,1,HR Manager,jsimpson@example.org,749.354.8866x6716,"0682 Stevens Common
Longfort, ND 03587"
11,Shelly,Whitaker,1977-12-11,Female,2016-05-15,2,Marketing Specialist,frytina@example.com,001-214-574-1419,"USS Tucker
FPO AP 54278"
12,Danielle,Chapman,1964-09-01,Female,2018-07-13,5,Marketing Specialist,christinawebb@example.net,(223)565-2467,"0838 Powers Unions Suite 983
Sheaview, SD 58700"
13,James,Giles,1999-12-08,Male,2018-08-20,3,Sales Representative,rlopez@example.net,(710)855-5119,"8629 Jefferson Way
Lake Andreahaven, IA 57862"
14,Harry,Hunt,1972-09-22,Female,2018-05-20,4,Marketing Specialist,simsheather@example.net,001-569-850-5728x88040,"40868 Matthew Lock Suite 468
North Zacharymouth, NY 37808"
15,Carol,Sanchez,1974-09-27,Male,2017-04-28,2,Marketing Specialist,mcdanieljames@example.net,801.689.8677,"00000 Daniel Stream Apt. 424
Nancyside, NV 24404"
16,Sherry,Horn,1965-03-20,Female,2020-05-30,4,Marketing Specialist,kristen82@example.net,833-546-6223x32743,"Unit 1723 Box 6647
DPO AP 82919"
17,William,Bryant,2001-10-20,Female,2024-02-02,2,Financial Analyst,angiehammond@example.net,+1-501-882-7020x7689,"0753 Mann Crossroad
Howellhaven, AL 38437"
